Occurrences,Gloss,readability (rounded average),lemma,pos
934,alliance,4,تحالف,noun
934,handing_over;delivery;surrender,3,تسليم,noun
932,prisoner;captive#prisoners;captives,3,أسير,noun
932,thrones#throne,3,عرش,noun
932,thief#thieves,1,لص,noun
931,continuing;continuous;incessant,2,مستمر,adj
930,deny;disavow;reject,3,نفى,verb
928,space;cosmos,2,فضاء,noun
928,wadi;valley#wadis;valleys,3,وادي,noun
928,touching;contact,4,مس,noun
927,general,4,جنرال,noun
927,resemble;be_similar_to#be_resembled;be_likened_to,2,أشبه,verb
924,following;subsequent_to,4,عقب,noun
924,comment#be_hanged,2,علق,verb
923,acknowledgment;recognition;admission;confession,3,ٱعتراف,noun
923,enjoy,1,تمتع,verb
922,time;duration#times;durations,1,زمان,noun
920,current;stream#currents;streams,4,تيار,noun
920,wish;desire,3,رغب,verb
920,coming;following,2,آتي,adj
920,north;northern,3,شمالي,adj
919,strengthen;intensify;emphasize#be_strengthened;be_intensified;be_emphasized,4,شدد,verb
918,certificate;witness;testimony,1,شهادة,noun
917,smile,1,ٱبتسامة,noun
916,conflict;struggle,4,نزاع,noun
916,calm;quiet;tranquillity,1,هدوء,noun
916,lower/lowest;inferior#near/nearer/nearest;inferior;lower/lowest#nearest;inferior;lowest#lowest;most_inferior,3,أدنى,adj_comp
914,report;inform;notify#be_reported;be_informed;be_notified,3,أبلغ,verb
914,last;persevere;continue,3,دام,verb
913,winds;odors#wind;odor,1,ريح,noun
913,assailant;attacker,2,مهاجم,noun
912,taking;adoption,3,ٱتخاذ,noun
909,emperor#empress,3,إمبراطور,noun
909,near;proximity;next_to,3,جوار,noun
908,security;safety;integrity,2,سلامة,noun
908,become_clear,3,تبين,verb
907,differ;be_different;disagree,3,ٱختلف,verb
904,compassion;mercy,3,رحمة,noun
903,detain;make_stand#be_detained;be_made_to_stand,1,أوقف,verb
901,possibility;capability#capabilities;possibilities,3,إمكانية,noun
901,human,2,بشري,adj
901,required;necessary;demanded;wanted,1,مطلوب,adj
901,old;elderly,1,عجوز,adj
900,be_absent,1,غاب,verb
900,articles;essays#article;essay,3,مقال,noun
899,mind;intellect#minds;intellects,3,ذهن,noun
898,direct;manage;conduct#be_directed;be_managed;be_conducted,3,أدار,verb
898,reading,1,قراءة,noun
898,elite,5,خاصة,adj
895,mankind,1,بشر,noun
894,reader,2,قارئ,noun
893,chains;series#chain;series,1,سلسلة,noun
893,lip,1,شفة,noun
893,pay_attention;heed#be_heeded;be_listened_to,3,أصغى,verb
892,deep;profound,3,عميق,adj
891,refraining;discontinuation;stoppage#palm_of_the_hand#palms_of_the_hands,1,كف,noun
889,arrival;advent,2,مجيء,noun
888,ninth,1,تاسع,adj_num
887,uniform;clothing#fashion;clothes;uniforms,2,زي,noun
886,continuation;continue#communication;connection,2,مواصلة,noun
883,assist;support#be_assisted;be_supported,3,أعان,verb
883,be_less;decrease;diminish#decreased;was_rare_+_that,3,قل,verb
882,positive;affirmative,4,إيجابي,adj
882,throw;fling;shoot#be_thrown;be_flung;be_shot,1,رمى,verb
882,opponent;adversary;opposition,3,معارض,noun
881,generation;epoch#generations;epochs,3,جيل,noun
880,release;liberation,3,إفراج,noun
880,sufficient;adequate;competent,3,كافي,adj
879,exchange,3,تبادل,noun
879,whereas;however,5,بيد,noun
877,jealousy;zeal,1,غيرة,noun
877,faction;party,4,فئة,noun
876,bird#birds,1,طير,noun
876,charge;entrust;commission,4,كلف,verb
876,occurrence;happening,3,وقوع,noun
875,indication;indicator;index;measure;gage#indicators;measures;indices;gages,4,مؤشر,noun
874,tomb;sepulcher#tombs;sepulchers,1,قبر,noun
873,fronts;front_lines#front;front_line,4,جبهة,noun
871,lady;mistress#ladies;mistresses,5,مولاة,noun
870,commit;perpetrate#be_committed;be_perpetrated,3,ٱرتكب,verb
870,gram,3,جرام,noun
867,"Either,_whether,_if",2,إما,conj
866,blow;strike;shot#blows;strikes;shots,1,ضربة,noun
863,strategic,4,إستراتيجي,adj
862,life;living,2,عيش,noun
859,institutes#institute,4,معهد,noun
859,seize;hold;refrain_from#be_seized;be_held;be_refrained_from,3,أمسك,verb
859,solicit;search_for,4,ٱلتمس,verb
857,oversee;supervise;manage#be_overseen;be_supervised;be_managed,3,أشرف,verb
857,behavior;conduct;disposal,1,تصرف,noun
857,open;opened,1,مفتوح,adj
857,treaty;alliance;pact#treaties;alliances;pacts,3,حلف,noun
857,dagger#daggers,2,خنجر,noun
855,surface;space;land;terrain,3,مساحة,noun
853,return;reverting,1,رجوع,noun
853,wonder_at;find_strange,1,ٱستغرب,verb
853,tell;report;relate;narrate#be_told;be_reported;be_related;be_narrated,3,روى,verb
852,golden;gilded,1,ذهبي,adj
852,care;attention;concern,2,عناية,noun
852,admiration;wonder;surprise,3,إعجاب,noun
851,lock_or_bolt_shut#be_locked_or_bolted_shut,1,أغلق,verb
850,shore;coast;beach#shores;coast;beach,1,شاطئ,noun
850,distance;interval#distances;intervals,2,مسافة,noun
850,extend;stretch;spread_out,1,مد,verb
848,surveillance;monitoring,2,مراقبة,noun
847,"quarter,_(one)_fourth",2,ربع,noun_quant
846,electronic,2,إلكتروني,adj
846,option;choice;selection#cucumber;gherkin#options;choices;selections,3,خيار,noun
845,instruct;disclose;inform#be_instructed;be_disclosed;be_informed,3,أطلع,verb
844,sleeping;asleep,1,نائم,adj
844,wall;enclosure#walls;enclosures,2,سور,noun
843,enter;include;insert#be_entered;be_included;be_inserted,2,أدخل,verb
843,farthest;most_remote#farthest;remotest,2,أقصى,adj
843,belief;conviction,3,ٱعتقاد,noun
843,absolute;unlimited,4,مطلق,adj
841,inclination;tendency;sympathy#inclination;tendencies;sympathies,4,ميل,noun
840,improvement;beautification#ornamentation#improvements;beautification,3,تحسين,noun
840,surprise;alarm,2,دهشة,noun
840,affection;inclination;preference#desires;wishes;inclinations,4,هوى,noun
839,gang;group;band#gangs;groups;bands,2,عصابة,noun
838,barrels#barrel,1,برميل,noun
836,sell,1,باع,verb
836,speeches;sermons#speech;sermon,2,خطبة,noun
836,darkness,1,ظلام,noun
836,fighting;combat;struggle,1,قتال,noun
835,executive,3,تنفيذي,adj
835,artist,2,فنان,noun
834,sitting,1,جلوس,noun
833,appearance;emergence,3,ظهور,noun
833,simple;plain,1,بسيط,adj
832,television,1,تلفزيون,noun
832,silence,2,صمت,noun
832,doubt;suspicion#no_+_doubt_(there_is_no_doubt),4,ريب,noun
832,whatever,3,مهما,pron_rel
831,character;morality#morals;character;ethics,1,خلق,noun
831,counterparts;colleagues;peers#counterpart;opposite_number;colleague;peer,4,نظير,noun
831,competition;rivalry#competitions;rivalries,2,منافسة,noun
829,difficulty,2,صعوبة,noun
828,dismissal;release,4,سراح,noun
827,poll_(opinion);investigation,4,ٱستطلاع,noun
827,experience;expertise,3,خبرة,noun
827,manifest;demonstrate,3,تظاهر,verb
825,lowering;decreasing;reduction,3,خفض,noun
825,product;production#products;manufactured_goods,4,منتج,noun
824,slave;servant#slaves;blacks#slave_girl#slaves#slave_girls,4,عبد,noun
824,depth;bottom#depths;bottom,3,عمق,noun
824,beginning;rise,4,مطلع,noun
821,obedience;compliance#pious_deeds,3,طاعة,noun
820,sports;sportive,1,رياضي,adj
820,dawn,1,فجر,noun
819,contact;get_in_touch_(with),1,ٱتصل,verb
817,window#windows,1,نافذة,noun
815,township,2,بلدة,noun
814,hearing;listening,2,سماع,noun
811,distribution,2,توزيع,noun
810,be_represented,3,تمثل,verb
809,remedy;medication#remedies;medications,1,دواء,noun
809,judicial_proceeding;legal_prosecution,4,محاكمة,noun
809,identity#identities,4,هوية,noun
808,electricity,1,كهرباء,noun
807,reputation;renown;fame,3,سمعة,noun
807,airline;aviation,2,طيران,noun
807,suddenly,1,فجأة,noun
806,automation#mechanisms#mechanism,3,آلية,noun
806,journalism;press,3,صحافة,noun
805,tie;equilibrium;balance,1,تعادل,noun
805,link;connection;contact#links;connections;contacts,3,صلة,noun
802,baron#baroness#barons,5,بارون,noun
802,follow;recite#be_recited;be_followed,3,تلا,verb
802,example;model#examples;models;proverbs,1,مثال,noun
802,overlook;face;look_out#be_viewed;be_looked_over,3,أطل,verb
801,gathering;assembly,2,تجمع,noun
800,arrest;detain#be_arrested;be_detained,2,ٱعتقل,verb
800,sects;parties;factions#sect;party;faction,4,طائفة,noun
799,card;tag;ballot#cards;tags;ballots,1,بطاقة,noun
799,escape;flee;defect;desert,3,فر,verb
798,object_to;be_opposed_to;be_inserted_in,3,ٱعترض,verb
797,conversion;transfer,2,تحويل,noun
797,settlement;solution,4,تسوية,noun
796,appointing;assignment,4,تعيين,noun
796,desert,1,صحراء,noun
796,diverting;spending,2,صرف,noun
795,feelings;emotions;senses#feeling;sense,5,مشعر,noun
794,be_raised;be_exalted#come;let's,1,تعالى,verb
794,light;slight;sparse,1,خفيف,adj
794,studying;checking;examining#lessons;classes,1,درس,noun
792,horizon,3,أفق,noun
792,comment;remark;commentary#comments;remarks#commentaries;remarks,2,تعليق,noun
792,(pair_of)_shoes#opposite;face_to_face_with#shoes,1,حذاء,noun
791,grant;provide#be_provided;be_granted;be_available,3,أتاح,verb
791,defeat,1,هزيمة,noun
791,framework;structure;skeleton#frameworks;structures;skeletons,3,هيكل,noun
789,merchants;businessmen#merchant;businessman,1,تاجر,noun
789,sovereignty;supremacy,3,سيادة,noun
789,request#demands;desiderata#claims,3,مطلب,noun
788,intensify,3,ٱشتد,verb
788,confusion;bewilderment,2,حيرة,noun
788,tourism,2,سياحة,noun
788,assistant;supporter,1,مساعد,noun
788,independent;autonomous,4,مستقل,adj
788,bow,5,أطرق,verb
788,suffering;distress;effort,3,شقاء,noun
787,green,1,أخضر,adj
787,blowing_up;exploding;detonating#explosion;detonation;splitting_apart,1,تفجير,noun
786,madness;insanity,1,جنون,noun
786,abundance;frequency,3,كثرة,noun
785,challenge#challenges,2,تحدي,noun
785,silent,2,صامت,adj
784,embassy#embassies,3,سفارة,noun
783,soonest;nearer/nearest;more/most_likely,1,أقرب,adj_comp
782,ideas;notions#thought;notion,4,هاجس,noun
781,practice;pursuit;exercise#activities;actions,4,ممارسة,noun
780,be_calm;be_reassured,2,ٱطمأن,verb
778,student;pupil#students;pupils,1,تلميذ,noun
778,features;characteristics#feature;characteristic,5,ملمح,noun
776,difference;disagreement;variance,2,ٱختلاف,noun
776,wish,4,عسى,verb
776,budget,4,ميزانية,noun
775,escape;be_rescued,1,نجا,verb
774,put_on;wear;dress,1,لبس,verb
773,be_directed;be_aimed;be_turned,3,ٱتجه,verb
773,music,1,موسيقى,noun
772,environment;milieu,2,بيئة,noun
772,necessary;required;needed,1,لازم,adj
771,certain;confident,2,واثق,adj
770,visitor;tourist#visitors;tourists,2,زائر,noun
769,proposal;suggestion,2,ٱقتراح,noun
769,jewels;gems#jewel;gem,3,جوهر,noun
768,suitable;appropriate,1,مناسب,adj
767,poverty,1,فقر,noun
767,issued;published,4,صادر,adj
766,wisdom;maxim,2,حكمة,noun
764,goal;purpose;target,1,مرمى,noun
762,present;attending,1,حاضر,adj
760,ratification;confirmation,5,إقرار,noun
760,welcome;receive,1,رحب,verb
760,square#fields;domains;arenas,3,ميدان,noun
759,structure;make-up#structures;make-up,4,بنية,noun
759,pain;punishment,2,عذاب,noun
757,vehicle;wagon#vehicles;wagons,2,عربة,noun
757,murderers;assassins#murderer;assassin,2,قاتل,noun
757,be_discovered;be_found#discover;come_across;find,2,عثر,verb
756,consider;ponder;contemplate,3,تأمل,verb
755,propose;suggest#be_proposed;be_suggested,2,ٱقترح,verb
755,heart;mind#hearts;minds,3,فؤاد,noun
752,investor,4,مستثمر,noun
752,tenth,1,عاشر,adj_num
749,excellence;high_quality;fineness,3,جودة,noun
749,treason;betrayal,3,خيانة,noun
749,class;category#classes;categories#strata;layers,3,طبقة,noun
748,traditional;conventional,3,تقليدي,adj
748,arrive;approach,3,حان,verb
748,foundations;support;fundamentals#foundation;support;corner,4,ركن,noun
747,animal;creature,1,حيوان,noun
747,fifty;fiftieth,1,خمسون,noun_num
747,comparison,2,مقارنة,noun
744,delegations;missions#delegation;mission,4,بعثة,noun
744,dinner;supper,1,عشاء,noun
743,screen/stage_director,3,مخرج,noun
742,hope,4,رجاء,noun
740,bomb;shell;grenade#bombs;shells;grenades,1,قنبلة,noun
740,spokesman;speaker,4,ناطق,noun
739,theaters#theater;stage,1,مسرح,noun
737,be_content_with;be_satisfied_with,4,ٱكتفى,verb
737,coordination;steering;systematic_arrangement,3,تنسيق,noun
737,horse#horses,1,حصان,noun
736,siege;blockade,3,حصار,noun
736,be_silent#have_a_stroke,1,سكت,verb
734,be_cautious;be_alert;be_aware,1,ٱنتبه,verb
734,cord;cable#cords;cables,1,حبل,noun
734,enjoy;gain,4,حظي,verb
734,be_concerned;be_interested,1,ٱهتم,verb
734,groups;companions#company;group#groups,3,رفقة,noun
733,bridge;(reinforcement)_beam_or_bar#bridges;(reinforcement)_beams_or_bars#bridges,1,جسر,noun
733,root;ancestry#roots;ancestry#ethnicities;ethnic_groups;races,5,عرق,noun
733,march;parade#marches;parades,4,مسيرة,noun
732,turn;be_wrapped,3,ٱلتف,verb
731,sigh;heave_the_chest,3,تنهد,verb
731,majority,3,أكثرية,noun
730,tribe#tribes,3,قبيلة,noun
729,decrease;reduction,2,ٱنخفاض,noun
729,loan#loans,4,قرض,noun
729,empty;devoid;free,2,خالي,adj
726,intelligence;cleverness,1,ذكاء,noun
726,legitimate;lawful;legal;legislative,4,شرعي,adj
726,extent;amount;degree;level;dosage;value,3,مقدار,noun
726,discovery;finding,3,إيجاد,noun
725,more/most_beautiful,1,أجمل,adj_comp
725,set;determined;defined,4,محدد,adj
725,banks#bank,3,مصرف,noun
725,neighboring;adjacent,3,مجاور,adj
724,be_changed;be_modified,1,تغير,verb
723,representation;acting;exemplification,1,تمثيل,noun
723,traitor;treacherous#traitors;disloyal,3,خائن,noun
723,rock,1,صخر,noun
723,meat;flesh,1,لحم,noun
721,frighten;alarm#be_frightened;be_alarmed,1,أخاف,verb
721,instant;moment,3,برهة,noun
721,beverage;drink,1,شراب,noun
719,have_mercy_with,3,رحم,verb
719,attached;connected;concerning,3,متعلق,adj
719,united;unified;standardized,3,موحد,adj
718,desire;eagerness;keenness,3,حرص,noun
718,finger#fingers,1,إصبع,noun
717,celebration;party;ceremony#celebrations;parties;ceremonies,1,حفلة,noun
717,surface,1,سطح,noun
717,examine;study,4,ٱطلع,verb
717,anger;wrath,3,غيظ,noun
716,paradise;garden#gardens,1,جنة,noun
715,spreading;spread;diffusion,2,ٱنتشار,noun
715,path;destiny;fate#paths;destinies;fates#entrails;guts,3,مصير,noun
715,majesty,2,جلالة,noun
714,veracious;truthful,1,صادق,adj
714,assistance;aid#assistants;aids,3,عون,noun
712,fill_up;fill_out;occupy,2,ملأ,verb
711,influence;effect,4,نفوذ,noun
710,land;earth,1,بر,noun
708,host;steward,2,مضيف,noun
707,withdrawal;evacuation;pulling_out,3,ٱنسحاب,noun
707,ceremony;celebration,1,حفل,noun
707,noble;proud;dignified,4,أبي,adj
706,occupy,3,ٱحتل,verb
705,source;resource#sources;resources,4,مورد,noun
705,deny;refuse,3,أبى,verb
705,beginning;pursuit,3,مباشرة,noun
703,directing;guiding;sending#instructions;guidelines;directives#instruction;directive,3,توجيه,noun
703,clothing;attire;dress,2,لباس,noun
703,as_long_as,1,طالما,conj_sub
698,letter#letters,1,حرف,noun
697,execution;capital_punishment,3,إعدام,noun
697,glory;grandeur#glories;grandeur,3,مجد,noun
697,gifts;presents#gift;present,1,هدية,noun
696,faithfulness;loyalty#secretariat,1,أمانة,noun
696,expire;go_by,3,فات,verb
696,reminder;memorandum,2,مذكرة,noun
695,partisans;followers,3,أنصار,noun
694,criticism;censure,4,ٱنتقاد,noun
694,controversy;quarrel;debate,4,جدل,noun
694,lamp;light#lamps;lights,1,مصباح,noun
694,get_up;set_out;blow,4,هب,verb
694,trust;rely;depend#be_trusted;be_relied_on;be_depended_on,2,وثق,verb
693,be_severed;be_interrupted,2,ٱنقطع,verb
692,resignation;retirement,4,ٱستقالة,noun
692,extend;reach;spread,3,ٱمتد,verb
692,factories;industrial_plants#factory;industrial_plant,2,مصنع,noun
691,support;assist,3,أيد,verb
690,prisoners#prisoner,1,سجين,noun
688,petroleum,3,بترول,noun
688,pleasure;delectation,3,لذة,noun
688,ready;prepared,1,مستعد,adj
688,disturbed;agitated;disrupted,4,مضطرب,adj
686,progress;headway#rounds;phases;games#round;phase;game;half_period,1,شوط,noun
686,conscience;pronoun#consciences;pronouns,2,ضمير,noun
686,love;affection,1,محبة,noun
686,point_of_view;angle#points_of_view;angles,3,وجهة,noun
685,be_built;be_erected#build;erect,1,بنى,verb
685,sedition;dissension;discord,4,فتنة,noun
685,parade;procession#parades;processions,4,موكب,noun
685,"Then,_at_that_time,_at_that_moment,_by_then",4,حينئذ,adv
684,early,1,مبكر,adj
684,treatment;dealing_with;procedure,2,معاملة,noun
684,complete;concluded,3,تام,adj
683,newspaper;journal#newspapers;journals,1,جريدة,noun
683,body#bodies,1,جسد,noun
683,effort;endeavor#efforts;endeavors,4,مسعى,noun
682,be_wrong;do_incorrectly#be_done_incorrectly,1,أخطأ,verb
682,time;moment#times;moments,3,أوان,noun
682,lawsuit;allegation;legal_action#lawsuits;allegations;legal_actions,4,دعوى,noun
682,standard;criterion#standards;criteria,4,معيار,noun
682,calm;quiet;peaceful,1,هادئ,adj
682,nine,1,تسع,noun_num
681,wear;put_on,2,ٱرتدى,verb
681,settle_down;be_stabilized,3,ٱستقر,verb
681,tension;strain,2,توتر,noun
680,brothers#brother,1,شقيق,noun
680,young_boys;youths#young_boy;youth,1,صبي,noun
678,mark;sign;point#marks;signs;points,1,علامة,noun
677,departure,4,ٱنطلاق,noun
676,wounded;injured,2,جريح,noun
676,expenditure;disbursement#expenditures;disbursements,4,نفقة,noun
675,singing,1,غناء,noun
674,guard;bodyguard,2,حرس,noun
674,defender;advocate,1,مدافع,noun
674,decided_upon;stipulated;scheduled,3,مقرر,adj
674,riders;passengers#rider;passenger,1,راكب,noun
673,forehead;brow,1,جبين,noun
673,necessary;requisite,1,ضروري,adj
672,summer,1,صيف,noun
671,dignity;generosity,3,كرامة,noun
671,patient;sick_person#patients;sick_people,2,مريض,noun
671,intra-;internal,4,بيني,adj
670,concealing;protecting#concealment;veiling,5,ٱحتجاب,noun
670,returning;attributed_to,3,عائد,adj
668,fidelity;sincerity,3,إخلاص,noun
668,cold;frigid,1,بارد,adj
668,"approximately,_almost,_just,_about,_nearly,_roughly",3,قرابة,noun_quant
667,summon;invoke;call#be_summoned;be_invoked;be_called,3,ٱستدعى,verb
666,approximation,2,تقريب,noun
665,medicine;medical_treatment,1,طب,noun
665,gentleness;civility,2,لطف,noun
663,banner;flag#districts;provinces,4,لواء,noun
662,cause;reason;motive#causes;reasons;motives;requirements#callers;propagandists#inviter;propagandist,2,داعي,noun
662,judicial;legal,4,قضائي,adj
662,chairmanship;precedence,4,صدارة,noun
660,examination;inspection;knowledge,4,ٱطلاع,noun
660,presence;eminent;honorable,2,حضرة,noun
659,inaugurate;open#be_inaugurated;be_opened,3,ٱفتتح,verb
659,cold;cooling,1,برد,noun
659,injustice,2,ظلم,noun
658,overpower;capture#be_overpowered;be_captured,3,ٱستولى,verb
658,lute;stick#lutes;sticks,1,عود,noun
658,undertake;tackle;approach#be_undertaken;be_tackled;be_approached,4,أقدم,verb
657,submit;be_subject#be_submitted;be_subjected,3,خضع,verb
657,later;afterwards;soon,3,لاحق,adj
656,instrument;apparatus;appliance;machine,1,آلة,noun
656,last,3,ٱستغرق,verb
656,dividends;revenues#profit;interest,3,ربح,noun
655,administrative;management;departmental;officer,4,إداري,adj
655,educational;pedagogical;instructional,2,تعليمي,adj
655,pray;worship#be_worshiped;be_prayed,1,صلى,verb
655,opposite;contrary,1,عكس,noun
655,treatment;therapy;processing,1,معالجة,noun
655,proxy;deputyship,4,نيابة,noun
655,additional;supplementary,3,إضافي,adj
654,reason;good_sense,2,صواب,noun
654,branch;section;subdivision#branches;sections;subdivisions,3,فرع,noun
653,wage;embark;carry_out,3,خاض,verb
653,total;complete;entire,3,كلي,noun
653,game;toy#games;toys,1,لعبة,noun
653,housemaid#maids,3,جارية,noun
653,speak_to;talk_to,1,كلم,verb
652,undertake;assume_obligation,4,تعهد,verb
652,stealing;theft;heist,1,سرقة,noun
652,vocations;professions;occupations#vocation;profession;occupation,2,مهنة,noun
650,accompany;escort,3,رافق,verb
650,accident;misfortune#accidents;misfortunes,1,مصيبة,noun
649,share;portion;quota#quotas;shares,1,حصة,noun
649,defend,1,دافع,verb
649,weakness;inability,3,عجز,noun
649,fixed;determined;prescribed,2,معين,adj
648,cancellation;abrogation;repeal,1,إلغاء,noun
648,preservation;retention;guarding,3,حفظ,noun
648,intend;consider#be_intended;be_considered,3,نوى,verb
646,work;operate,1,ٱشتغل,verb
646,production;extraction;ousting,2,إخراج,noun
646,technology,2,تكنولوجيا,noun
645,transfer;communication,2,ٱنتقال,noun
644,harm;offend#be_harmed;be_offended,2,أساء,verb
644,protest,3,ٱحتجاج,noun
644,preservation;guarding,2,حفاظ,noun
644,specter;shape#specters;shapes#specters,1,شبح,noun
644,ordinary;regular;normal,1,عادي,adj
643,tool;instrument;apparatus#tools;instruments,2,أداة,noun
643,representative;agent#representatives;agents,4,وكيل,noun
642,initiate;surprise,4,بادر,verb
642,proprietor;holder#proprietors;holders,3,مالك,noun
642,material;physical#materialistic,4,مادي,adj
642,means;device,4,واسطة,noun
641,looking;observer;supervisor#eyes;glances#looking;observers;supervisors,2,ناظر,noun
641,telephones#telephone#shouting;calling,1,هاتف,noun
640,stronghold;citadel;fort#strongholds;citadels;forts,2,قلعة,noun
640,copy;replica#copies;replicas,2,نسخة,noun
639,joining;affiliation;annexation,3,ٱنضمام,noun
638,adversaries#adversary,4,خصم,noun
638,departure;demise,3,رحيل,noun
638,be_on_the_verge_of;be_about_to;almost,2,أوشك,verb
637,list;table;schedule#tables;schedules,4,لائحة,noun
637,despair;hopelessness,3,يأس,noun
635,fair;just;equitable,3,عادل,adj
635,bloc;group#blocs;groups,3,كتلة,noun
635,attainment;achievement;acquiring,4,نيل,noun
634,"first_(word_in_""11th"",_""21st"",_""31st"",_through_""91st"")",2,حادي,adj_num
633,coup;overthrow;toppling,4,ٱنقلاب,noun
633,towards;facing,3,تجاه,noun
632,donkey,1,حمار,noun
632,complete;conclude#be_completed;be_concluded,3,أتم,verb
632,depiction;conception;imagination,2,تصور,noun
632,excess;hyper-,4,فرط,noun
630,nose;pride#noses;pride,1,أنف,noun
630,cause;lead_(to);result_(in),2,تسبب,verb
630,slogan;motto#slogans;mottos,4,شعار,noun
628,postponement;delay,1,تأجيل,noun
627,answer;response;consent,1,إجابة,noun
627,mail;post_office,1,بريد,noun
627,expulsion;dismissal;kicking_out#parcel;package#parcels;packages,2,طرد,noun
626,take_an_oath;swear#be_sworn,1,أقسم,verb
626,sport;physical_exercise,1,رياضة,noun
626,limited;determined,4,محدود,adj
625,encouragement;promotion;support,1,تشجيع,noun
625,iron,1,حديد,noun
625,appear;reach;arrive;come_to;be_mentioned,4,ورد,verb
623,study;learn,1,تعلم,verb
623,manner;path#ideologies;trends;sects,5,مذهب,noun
623,quit;leave;finish;end,5,برح,verb
622,tourist;tourism,3,سياحي,adj
622,loss;waste#villages#village,3,ضيعة,noun
621,join;be_affiliated;be_added,3,ٱنضم,verb
621,resort;have_recourse;take_refuge,4,لجأ,verb
620,compensation;restitution#reparations;substitutes,3,تعويض,noun
620,statue#statues,1,تمثال,noun
620,ally;allied;confederate#allies,4,حليف,noun
620,dominate;seize;command,1,سيطر,verb
620,lovers;fond_of#lover;fond_of,2,عاشق,noun
620,flowers,1,زهور,noun
619,towards;facing;regarding;vis--vis,4,إزاء,noun
619,samples;models#sample;model,3,نموذج,noun
619,state_of_being_affected;sensitivity,3,تأثر,noun
618,yellow,1,أصفر,adj
617,fly,1,طار,verb
617,prominent;distinct,3,بارز,adj
616,magazine;journal,1,مجلة,noun
615,bad,1,سيء,adj
614,belief;faith,2,إيمان,noun
614,quantities;amounts#quantity;amount,1,كمية,noun
614,keys;switches;wrenches#key;switch;wrench,1,مفتاح,noun
614,make_hear;have_listen#be_listened_to,4,أسمع,verb
613,clarifying;explaining;indicating,3,موضح,adj
613,leg#legs,1,ساق,noun
612,salary;pay#salaries;wages,2,راتب,noun
612,poor;destitute,1,فقير,noun
611,be_spread;be_diffused;be_publicized,2,ٱنتشر,verb
611,bridegroom#bride_and_groom;newlyweds#brides;newlyweds#bride,1,عروس,noun
611,living;alive,4,عائش,noun
611,director;leader,4,مسير,noun
610,conclusion,4,ختام,noun
609,representative;delegated;deputed,5,نيابي,adj
608,cheek;side;furrow#cheeks;side,1,خد,noun
608,liquor;alcohol,2,خمر,noun
608,participate;contribute,3,ساهم,verb
608,cinema,1,سينما,noun
608,shout;scream,1,صرخ,verb
608,provide;fulfill,2,وفر,verb
608,pleased;accepting;consenting,2,راضي,adj
607,farm;plantation#farms;plantations,5,مزرع,noun
607,be_calm#reside;live_in,1,سكن,verb
606,agreement;conformity,4,توافق,noun
606,odor;perfume#odors;perfume,1,رائحة,noun
605,bones#bone,1,عظم,noun
605,refugee,4,لاجئ,noun
604,complete;finish;communicate#be_completed;be_communicated,3,أنهى,verb
604,forest;jungle,2,غابة,noun
604,appearance;issuance,4,صدور,noun
603,practice;pursue;exercise#be_exerted;be_brought_to_bear_(pressure),4,مارس,verb
603,man;person,3,مرء,noun
602,rise;loom;ascend;be_elevated,3,علا,verb
602,raid;foray;attack#raids;forays;attacks,4,غارة,noun
602,bombardment;shelling,4,قصف,noun
602,going,1,ذاهب,adj
601,ton,3,طن,noun
601,lock,1,أقفل,verb
600,feeling;sensitivity#feelings;sensitivities,1,إحساس,noun
600,fianc,1,خطيب,noun
600,like;similar#like;almost;semi-,3,شبه,noun
600,support;base#lists;indexes,3,قائمة,noun
600,as_long_as;until,4,ريثما,conj_sub
600,bending;twisting,4,لي,noun
599,clean;tidy,1,نظيف,adj
599,sharp;intense,2,حاد,adj
598,bilateral;dual,3,ثنائي,adj
598,hidden;secret;invisible,3,خفي,adj
597,resumption;appeal,4,ٱستئناف,noun
597,result;consequence#results;consequences,4,عاقبة,noun
596,termination;completion,3,إنهاء,noun
596,advanced;developed,4,متقدم,adj
596,combatant;warrior,1,مقاتل,noun
594,precise;minute;delicate,2,دقيق,adj
594,wage;launch#be_waged;be_launched,5,شن,verb
593,voter;elector,4,ناخب,noun
593,departure;farewell,2,وداع,noun
593,faculty;college;institute,3,كلية,noun
592,hunting;fishing;trapping,1,صيد,noun
592,get_ready,1,ٱستعد,verb
591,fate;fortune;circumstance,4,دهر,noun
591,ignore,4,جهل,verb
591,withdrawal;pulling_out;remove,1,سحب,noun
590,grade;rank;position,4,منزلة,noun
590,tie;connect,1,ربط,verb
589,hostage#hostages,4,رهينة,noun
589,rest;tranquillity;quietude,3,سكون,noun
589,rare;unusual;infrequent,2,نادر,adj
589,fuel,2,وقود,noun
588,remaining,2,باقي,noun
588,require;demand,3,تطلب,verb
588,install;assemble;put_together#be_installed;be_assembled;be_put_together,1,ركب,verb
588,easy;simple,1,سهل,adj
588,damage;injury;harm#damages;injuries;harm#evil;sin,2,ضرر,noun
588,taking_charge_of;assuming_responsibility,3,تولي,noun
587,shame;disgrace;infamy,3,عار,noun
587,legation;delegation,5,مفوضية,noun
586,be_spent;be_disbursed#spend;disburse,3,أنفق,verb
586,participant;associate,1,مشارك,noun
586,brooms,5,مقمة,noun
585,ask;wonder,2,تساءل,verb
585,be_correct;be_true,3,صح,verb
585,multi-;poly-;manifold;numerous,3,متعدد,adj
585,telephone;telephonic,2,هاتفي,adj
